L_ListingID,L_Address,L_City,beds,baths,price,L_Remarks,remarks_cleaned
100000,100 Example St,San Diego,1,3,850000,"Beautiful single family home with vaulted ceilings.
    Located minutes from shopping.
    Property is newly remodeled and includes private backyard.
    Priced to sell with strong investment potential.",Beautiful single family home with vaulted ceilings. Located minutes from shopping. Property is newly remodeled and includes private backyard. Priced to sell with strong investment potential.
100001,101 Example St,San Francisco,2,2,350000,"Beautiful single family home with smart home system.
    Located close to schools.
    Property is needs TLC and includes low HOA fees.
    Priced to sell with strong investment potential.",Beautiful single family home with smart home system. Located close to schools. Property is needs TLC and includes low home owners association fees. Priced to sell with strong investment potential.
100002,102 Example St,San Francisco,2,3,950000,"Beautiful investment property with granite countertops.
    Located near public transportation.
    Property is fully renovated and includes two-car garage.
    Priced to sell with strong investment potential.",Beautiful investment property with granite countertops. Located near public transportation. Property is fully renovated and includes two-car garage. Priced to sell with strong investment potential.
100003,103 Example St,San Francisco,2,3,850000,"Beautiful duplex with open floor plan.
    Located quiet neighborhood.
    Property is needs TLC and includes two-car garage.
    Priced to sell with strong investment potential.",Beautiful duplex with open floor plan. Located quiet neighborhood. Property is needs TLC and includes two-car garage. Priced to sell with strong investment potential.
100004,104 Example St,San Diego,5,3,350000,"Beautiful investment property with solar panels.
    Located walking distance to parks.
    Property is fully renovated and includes two-car garage.
    Priced to sell with strong investment potential.",Beautiful investment property with solar panels. Located walking distance to parks. Property is fully renovated and includes two-car garage. Priced to sell with strong investment potential.
100005,105 Example St,San Diego,4,1,750000,"Beautiful single family home with walk-in closet.
    Located walking distance to parks.
    Property is recently upgraded and includes corner lot.
    Priced to sell with strong investment potential.",Beautiful single family home with walk-in closet. Located walking distance to parks. Property is recently upgraded and includes corner lot. Priced to sell with strong investment potential.
100006,106 Example St,San Diego,4,1,850000,"Beautiful single family home with stainless steel appliances.
    Located gated community.
    Property is recently upgraded and includes large lot.
    Priced to sell with strong investment potential.",Beautiful single family home with stainless steel appliances. Located gated community. Property is recently upgraded and includes large lot. Priced to sell with strong investment potential.
100007,107 Example St,Los Angeles,1,3,350000,"Beautiful condo with stainless steel appliances.
    Located minutes from shopping.
    Property is fully renovated and includes low HOA fees.
    Priced to sell with strong investment potential.",Beautiful condominium with stainless steel appliances. Located minutes from shopping. Property is fully renovated and includes low home owners association fees. Priced to sell with strong investment potential.
100008,108 Example St,San Francisco,5,3,450000,"Beautiful duplex with open floor plan.
    Located minutes from shopping.
    Property is newly remodeled and includes large lot.
    Priced to sell with strong investment potential.",Beautiful duplex with open floor plan. Located minutes from shopping. Property is newly remodeled and includes large lot. Priced to sell with strong investment potential.
100009,109 Example St,San Jose,3,2,450000,"Beautiful condo with granite countertops.
    Located close to schools.
    Property is fixer upper and includes no HOA.
    Priced to sell with strong investment potential.",Beautiful condominium with granite countertops. Located close to schools. Property is fixer upper and includes no HOA. Priced to sell with strong investment potential.
100010,110 Example St,San Diego,1,2,550000,"Beautiful single family home with walk-in closet.
    Located gated community.
    Property is fully renovated and includes no HOA.
    Priced to sell with strong investment potential.",Beautiful single family home with walk-in closet. Located gated community. Property is fully renovated and includes no HOA. Priced to sell with strong investment potential.
